User,Time,Working Directory,Command,Duration
10.103.130.144,2022-04-15 18:59:54,/home/ubuntu,ls,0:00:10
10.103.130.144,2022-04-15 19:00:09,/home/ubuntu,cd /volatility,0:00:15
10.103.130.144,2022-04-15 19:00:32,/home/ubuntu/volatility,cd \volatility,0:00:23
10.103.130.144,2022-04-15 19:00:42,/home/ubuntu/volatility,ls,0:00:10
10.103.130.144,2022-04-15 19:02:09,/home/ubuntu/volatility,vol.py -f memory.dmp imageinfo,0:01:27
10.103.130.144,2022-04-15 19:02:27,/home/ubuntu/volatility,\vol.py -f memory.dmp imageinfo,0:00:18
10.103.130.144,2022-04-15 19:02:51,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:00:24
10.103.130.144,2022-04-15 19:09:00,/home/ubuntu,cd,0:06:09
10.103.130.144,2022-04-15 19:09:05,/home/ubuntu,ls,0:00:05
10.103.130.144,2022-04-15 19:09:27,/home/ubuntu,unzip memory.zip,0:00:22
10.103.130.144,2022-04-15 19:09:30,/home/ubuntu,unzip memory.zip,0:00:03
10.103.130.144,2022-04-15 19:09:32,/home/ubuntu,ls,0:00:02
10.103.130.144,2022-04-15 19:09:59,/home/ubuntu,sudo mv memory.dmp \volatility,0:00:27
10.103.130.144,2022-04-15 19:10:06,/home/ubuntu,cd /volatility,0:00:07
10.103.130.144,2022-04-15 19:10:14,/home/ubuntu/volatility,cd \volatility,0:00:08
10.103.130.144,2022-04-15 19:10:16,/home/ubuntu/volatility,ls,0:00:02
10.103.130.144,2022-04-15 19:11:03,/home/ubuntu/volatility,\volatility -f memory.dmp imageinfo,0:00:47
10.103.130.144,2022-04-15 19:11:15,/home/ubuntu/volatility,./volatility -f memory.dmp imageinfo,0:00:12
10.103.130.144,2022-04-15 19:11:23,/home/ubuntu/volatility,.\volatility -f memory.dmp imageinfo,0:00:08
10.103.130.144,2022-04-15 19:11:33,/home/ubuntu/volatility,\volatility -f memory.dmp imageinfo,0:00:10
10.103.130.144,2022-04-15 19:12:13,/home/ubuntu/volatility,sudo apt install volatility,0:00:40
10.103.130.144,2022-04-15 19:12:28,/home/ubuntu/volatility,.\volatility -f memory.dmp imageinfo,0:00:15
10.103.130.144,2022-04-15 19:13:01,/home/ubuntu,cd,0:00:33
10.103.130.144,2022-04-15 19:13:03,/home/ubuntu,ls -la,0:00:02
10.103.130.144,2022-04-15 19:14:59,/home/ubuntu,tail -10 .bash_history,0:01:56
10.103.130.144,2022-04-15 19:17:45,/home/ubuntu,tail -10 .bash_history,0:02:46
10.103.130.144,2022-04-15 19:17:56,/home/ubuntu,ls -la,0:00:11
10.103.130.144,2022-04-15 19:18:11,/home/ubuntu/volatility,cd \volatility,0:00:15
10.103.130.144,2022-04-15 19:20:43,/home/ubuntu/volatility,./volatility -f memory.dmp imageinfo,0:02:32
10.103.130.144,2022-04-15 19:36:55,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:16:12
10.103.130.144,2022-04-15 19:37:50,/home/ubuntu/volatility,volatility -f memory.dmp imageinfo,0:00:55
10.103.130.144,2022-04-15 19:37:54,/home/ubuntu/volatility,volatility --info | grep Linux,0:00:04
10.103.130.144,2022-04-15 20:31:14,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:53:20
